Spiderman #1,Marvel,Comic
Batman Año Uno,DC Comics,Comic
Watchmen,DC Comics,Novela Gráfica
X-Men #25,Marvel,Comic
Hellboy Volumen 1,Dark Horse,Novela Gráfica
The Sandman,Vertigo,Novela Gráfica
Iron Man: Extremis,Marvel,Comic
Joker,DC Comics,Novela Gráfica
Saga Volumen 1,Image Comics,Novela Gráfica
Deadpool #10,Marvel,Comic
V de Vendetta,Vertigo,Novela Gráfica
Capitán América #5,Marvel,Comic
Liga de la Justicia #3,DC Comics,Comic
Civil War,Marvel,Novela Gráfica
El Inmortal Hulk,Marvel,Comic
Daredevil: Born Again,Marvel,Novela Gráfica
Flashpoint,DC Comics,Comic
Akira Volumen 1,Kodansha,Manga
Naruto #1,Shueisha,Manga
Dragon Ball #5,Shueisha,Manga
