Cien Años de Soledad,Gabriel García Márquez
El Principito,Antoine de Saint-Exupéry
1984,George Orwell
Rayuela,Julio Cortázar
Don Quijote de la Mancha,Miguel de Cervantes
Orgullo y Prejuicio,Jane Austen
Crimen y Castigo,Fiódor Dostoyevski
La Odisea,Homero
La Metamorfosis,Franz Kafka
Fahrenheit 451,Ray Bradbury
Los Miserables,Victor Hugo
Matar a un ruiseñor,Harper Lee
El Gran Gatsby,F. Scott Fitzgerald
Ulises,James Joyce
En busca del tiempo perdido,Marcel Proust
La Sombra del Viento,Carlos Ruiz Zafón
El amor en los tiempos del cólera,Gabriel García Márquez
Pedro Páramo,Juan Rulfo
El Túnel,Ernesto Sabato
Cuentos de amor de locura y de muerte,Horacio Quiroga
La casa de los espíritus,Isabel Allende
Ensayo sobre la ceguera,José Saramago
El Aleph,Jorge Luis Borges
El Hobbit,J.R.R. Tolkien
Harry Potter y la piedra filosofal,J.K. Rowling
Los juegos del hambre,Suzanne Collins
El código Da Vinci,Dan Brown
It,Stephen King
Carrie,Stephen King
El resplandor,Stephen King
La naranja mecánica,Anthony Burgess
El perfume,Patrick Süskind
La ladrona de libros,Markus Zusak
El psicoanalista,John Katzenbach
Tokio Blues,Haruki Murakami
Kafka en la orilla,Haruki Murakami
El nombre del viento,Patrick Rothfuss
Ready Player One,Ernest Cline
El Alquimista,Paulo Coelho
La catedral del mar,Ildefonso Falcones
